SessionTime,Lap,LapDist,LapDistPct,Speed,Yaw,YawNorth,VelocityX,VelocityY,VelocityZ,YawRate,SteeringWheelAngle,LatAccel,IsOnTrack
883.283332824,1.000000000,1109.317749023,0.172966108,27.058223724,1.986235380,5.317419052,27.056859970,-0.271742523,-0.102859482,-0.683689713,-9.424778938,-18.059463501,1.000000000
883.299999491,1.000000000,1109.751098633,0.173033684,27.001674652,1.974771142,5.328883171,27.000432968,-0.258879930,-0.102595478,-0.690229595,-9.424778938,-17.354574203,1.000000000
883.316666158,1.000000000,1110.184082031,0.173101187,26.948028564,1.963261724,5.340392590,26.947040558,-0.230848774,-0.117984526,-0.687810898,-9.424778938,-16.403383255,1.000000000
883.333332824,1.000000000,1110.616943359,0.173168689,26.897159576,1.951900005,5.351754189,26.896455765,-0.194467008,-0.140408769,-0.673079312,-9.424778938,-15.749500275,1.000000000
883.349999491,1.000000000,1111.048828125,0.173236027,26.847646713,1.940860629,5.362793446,26.847171783,-0.159706458,-0.160749331,-0.650744379,-9.424778938,-15.562761307,1.000000000
883.366666158,1.000000000,1111.479614258,0.173303202,26.797124863,1.930207610,5.373446465,26.796745300,-0.142677680,-0.164197832,-0.629193306,-9.424778938,-16.218824387,1.000000000
883.383332824,1.000000000,1111.909545898,0.173370227,26.744529724,1.919814229,5.383840084,26.744155884,-0.141581431,-0.155944884,-0.621640027,-9.424778938,-16.638078690,1.000000000
883.399999491,1.000000000,1112.338623047,0.173437133,26.689352036,1.909430027,5.394224167,26.688934326,-0.149196520,-0.143237144,-0.625519633,-9.424778938,-17.193117142,1.000000000
883.416666158,1.000000000,1112.766845703,0.173503906,26.633218765,1.898965597,5.404688835,26.632726669,-0.161888033,-0.130078048,-0.629770756,-9.424778938,-17.448743820,1.000000000
883.433332824,1.000000000,1113.194458008,0.173570573,26.577329636,1.888458967,5.415195465,26.576749802,-0.175547898,-0.120348096,-0.630005956,-9.424778938,-17.325391769,1.000000000
883.449999491,1.000000000,1113.621826172,0.173637211,26.523132324,1.877981424,5.425672531,26.522485733,-0.184991255,-0.118400812,-0.626285970,-9.424778938,-16.944055557,1.000000000
883.466666158,1.000000000,1114.048217773,0.173703700,26.472414017,1.866588593,5.437065601,26.470998764,-0.273817629,-0.134482369,-0.904175878,0.000000000,-29.823442459,1.000000000
883.483332824,1.000000000,1114.474121094,0.173770100,26.449590683,1.855839729,5.447814465,26.449590683,0.000174257,-0.141701460,-0.475559264,0.000000000,-5.978478432,1.000000000
883.499999491,1.000000000,1114.899169922,0.173836380,26.399461746,1.849402070,5.454252243,26.399160385,0.126150906,-0.163182169,-0.281458288,0.000000000,-1.628237009,1.000000000
883.516666158,1.000000000,1115.323486328,0.173902541,26.374578476,1.846330643,5.457323551,26.373958588,0.180876479,-0.166129559,-0.098103531,0.000000000,-1.112188578,1.000000000
883.533332824,1.000000000,1115.747314453,0.173968613,26.358142853,1.845667839,5.457986355,26.357563019,0.174918696,-0.153042808,0.006045599,0.000000000,-2.059854031,1.000000000
883.549999491,1.000000000,1116.170532227,0.174034610,26.340715408,1.846068025,5.457586288,26.340547562,0.094124518,-0.140765935,0.032940891,0.000000000,-4.680900097,1.000000000
883.566666158,1.000000000,1116.593261719,0.174100518,26.330701828,1.846547842,5.457106590,26.330699921,0.008720863,-0.132425234,0.023116579,0.000000000,-3.236916304,1.000000000
883.583332824,1.000000000,1117.016113281,0.174166456,26.423109055,1.846788883,5.456865311,26.423084259,-0.035603624,-0.130061284,0.010068555,0.000000000,-0.875025392,1.000000000
883.599999491,1.000000000,1117.441040039,0.174232706,26.603448868,1.846910119,5.456744194,26.603418350,-0.040163573,-0.149694413,0.010033513,0.000000000,0.605465293,1.000000000
883.616666158,1.000000000,1117.868774414,0.174299404,26.814043045,1.847043753,5.456610680,26.814016342,-0.038157932,-0.182768419,0.010019606,0.000000000,0.680869341,1.000000000
883.633332824,1.000000000,1118.299560547,0.174366564,27.014141083,1.847169161,5.456484795,27.014118195,-0.036165595,-0.210419983,0.006553630,0.000000000,0.615216255,1.000000000
883.649999491,1.000000000,1118.732666016,0.174434096,27.119258881,1.847215891,5.456438065,27.119241714,-0.030640548,-0.215244606,-0.001670045,0.000000000,0.676371455,1.000000000
883.666666158,1.000000000,1119.165771484,0.174501628,27.105060577,1.847169280,5.456484795,27.105049133,-0.023281736,-0.200370744,-0.005529820,0.000000000,0.584744930,1.000000000
883.683332824,1.000000000,1119.598144531,0.174569041,27.090028763,1.847114921,5.456539154,27.090024948,-0.016467251,-0.179898798,-0.004351601,0.000000000,0.492133200,1.000000000
883.699999491,1.000000000,1120.029174805,0.174636245,27.004467010,1.847079277,5.456574917,27.004463196,-0.013746952,-0.148161486,-0.003207624,0.000000000,0.258329660,1.000000000
883.716666158,1.000000000,1120.458129883,0.174703136,26.905317307,1.847045422,5.456608772,26.905313492,-0.013833661,-0.112250581,-0.002367509,0.000000000,0.190998971,1.000000000
883.733332824,1.000000000,1120.885253906,0.174769729,26.860052109,1.847001553,5.456652641,26.860048294,-0.012938175,-0.084232777,-0.001809611,0.000000000,0.363871813,1.000000000
883.749999491,1.000000000,1121.311645508,0.174836218,26.854305267,1.847070098,5.456583977,26.854282379,-0.035562325,-0.089060135,-0.016898975,-0.595013440,-4.530284882,1.000000000
883.766666158,1.000000000,1121.737304688,0.174902588,26.824377060,1.847340941,5.456313133,26.823984146,-0.145062298,-0.104097180,-0.186704457,-7.289005280,-17.575368881,1.000000000
883.783332824,1.000000000,1122.162475586,0.174968883,26.830400467,1.842465520,5.461188793,26.829841614,-0.173254311,-0.131795764,-0.349472553,-9.424779892,-11.788125992,1.000000000
883.799999491,1.000000000,1122.587646484,0.175035179,26.857748032,1.836073995,5.467580318,26.856838226,-0.221162811,-0.158694640,-0.391831726,-9.424778938,-12.986812592,1.000000000
883.816666158,1.000000000,1123.013427734,0.175101563,26.932622910,1.829673290,5.473980904,26.931484222,-0.247568026,-0.193483993,-0.377763122,-9.424778938,-11.098064423,1.000000000
883.833332824,1.000000000,1123.440307617,0.175168127,27.035228729,1.822978020,5.480676174,27.033943176,-0.263691694,-0.209794149,-0.438304186,-9.424778938,-11.400555611,1.000000000
883.849999491,1.000000000,1123.868896484,0.175234944,27.161548615,1.814914227,5.488739967,27.160512924,-0.237142965,-0.214381695,-0.528541863,-9.424778938,-11.333407402,1.000000000
