Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
77.69412,0.0064817546,43.797554673477144,-87.98959596331011,0,1,8597.867,-0.002518685,6,1,false,false,-0.36345315,1.3032053,7.2109466,-2.0976224,0.0125899585,3
77.711105,0.0066836793,43.79754306305603,-87.98959559056009,0,1,8605.416,-0.002239552,6,1,false,false,-0.35671598,0.9341534,6.0038214,-2.097491,0.0074271574,3
77.72451,0.0068856473,43.79753136261249,-87.98959521781006,0,1,8619.884,-0.0016791229,6,1,false,false,-0.31180906,0.9713768,5.5821276,-2.0974393,0.0035574043,3
77.73947,0.0070876484,43.79751975219137,-87.98959472106283,0,1,8634.561,-0.00056042906,6,1,false,false,0.030602813,1.0134186,5.6738296,-2.0974138,0.0034613472,3
77.75459,0.0072896923,43.79750805181649,-87.98959434831279,0,1,8641.472,-0.007835188,6,1,false,false,-0.30931056,1.0496851,6.5600386,-2.0973835,0.0014941094,3
77.77516,0.0074917814,43.79749644139538,-87.98959397556277,0,1,8642.705,-0.0120319165,6,1,false,false,-0.42379463,1.5717738,8.070228,-2.0973973,-0.0025204264,3
77.79788,0.0076939287,43.79748474095184,-87.98959360243354,0,1,8638.499,-0.009234096,6,1,false,false,-0.24616802,1.4213479,8.626491,-2.0974715,-0.006195587,3
77.82116,0.007896137,43.79747304057696,-87.98959322968352,0,1,8632.374,-0.0030780318,6,1,false,false,-0.062580645,1.2434478,11.643474,-2.0975776,-0.00663819,3
77.84342,0.008098405,43.79746143015584,-87.9895928569335,0,1,8630.487,0.003636297,6,1,false,false,-0.39933035,1.495382,15.800403,-2.0976546,-0.0058624204,3
77.86548,0.008300728,43.7974497297123,-87.98959248418348,0,1,8628.919,0.011190189,6,1,false,false,-0.015995234,1.6005117,13.685559,-2.0976565,0.00035294675,3
77.88953,0.008503112,43.79743802933742,-87.98959211143345,0,1,8619.892,0.008951717,6,1,false,false,-0.3896038,1.7336178,14.522691,-2.0975535,0.00535266,3
77.91386,0.008705559,43.79742632889388,-87.98959173868343,0,1,8604.5205,0.004195645,6,1,false,false,0.0050924122,1.4114761,12.619031,-2.0974317,0.0074158753,3
77.932785,0.008908062,43.797414718472766,-87.9895913659334,0,1,8606.623,-0.005875849,6,1,false,false,-0.5769401,1.1611564,10.390861,-2.0972977,0.006231069,3
77.946045,0.009110604,43.79740301809789,-87.98959099318337,0,1,8624.386,-0.011191271,6,1,false,false,-0.57505286,0.87515974,14.122919,-2.0972495,-0.0013986005,3
77.96291,0.009313177,43.797391317654345,-87.98959062043335,0,1,8637.177,-0.021542978,6,1,false,false,-0.8842823,1.4128993,10.599087,-2.0973017,-0.0077727214,3
77.98021,0.009515795,43.7973796172108,-87.98959024768332,0,1,8629.734,-0.031335343,6,1,false,false,-1.0053864,1.6835316,9.456834,-2.0974844,-0.0144103,3
77.99964,0.009718467,43.797367916835924,-87.9895898749333,0,1,8620.525,-0.032174893,6,1,false,false,-1.8200741,1.2751766,11.815744,-2.0978012,-0.023034945,3
78.01447,0.00992118,43.79735621639238,-87.98958950218328,0,1,8629.589,-0.030216642,6,1,false,false,-1.4312822,0.9959941,7.7480197,-2.0982327,-0.027100094,3
78.02727,0.010123925,43.7973445160175,-87.98958912943326,0,1,8650.421,-0.041127693,6,1,false,false,-1.947528,1.5143646,12.21051,-2.0986943,-0.029164428,3
78.04132,0.010326709,43.79733281557396,-87.98958875668322,0,1,8651.189,-0.04952116,6,1,false,false,-2.1913986,1.0936373,3.9549117,-2.0992298,-0.033116173,3
78.06087,0.01052954,43.797321115130416,-87.9895883839332,0,1,8646.446,-0.046443116,6,1,false,false,-1.754466,1.139356,6.1825876,-2.099808,-0.033685677,3
78.07374,0.0107324105,43.79730941475554,-87.98958801118317,0,1,8652.34,-0.050639838,6,1,false,false,-2.4206219,0.42360726,7.174373,-2.1004078,-0.038320743,3
78.08375,0.010935305,43.797297714311995,-87.98958776280955,0,1,8679.12,-0.041688133,6,1,false,false,-2.6538632,1.641799,9.8585615,-2.1011307,-0.04598092,3
78.10109,0.011138235,43.79728601386845,-87.98958738968034,0,1,8693.279,-0.026579268,6,1,false,false,-2.5023382,1.1549027,7.3503942,-2.1018918,-0.044138636,3
78.12432,0.011341225,43.79727422347115,-87.98958701693032,0,1,8668.5,-0.011751702,6,1,false,false,-2.4930015,1.5227516,8.3951435,-2.1025727,-0.035682674,3
78.14905,0.011544281,43.797262523027605,-87.98958676855669,0,1,8647.849,-0.010633006,6,1,false,false,-2.3546371,1.5254195,8.192637,-2.10306,-0.021811502,3
78.166,0.011747388,43.797250822721395,-87.98958639580667,0,1,8661.799,-0.016507775,6,1,false,false,-1.6478903,0.7925714,7.6610723,-2.1033468,-0.012449622,3
78.17817,0.011950531,43.79723912227785,-87.98958614743304,0,1,8686.036,-0.02294189,6,1,false,false,-1.7987388,0.758316,8.19365,-2.1035447,-0.011590324,3
78.1947,0.012153705,43.79722733188055,-87.98958589868023,0,1,8689.115,-0.0232221,6,1,false,false,-1.897722,1.4445716,10.241072,-2.103774,-0.015684467,3
78.21927,0.012356937,43.797215631437005,-87.98958552593021,0,1,8675.025,-0.012870396,6,1,false,false,-1.6706634,1.5713892,7.929555,-2.1040494,-0.017782018,3
78.241875,0.012560227,43.79720393099346,-87.98958527755659,0,1,8660.093,-0.0025186855,6,1,false,false,-1.24257,1.1585981,9.13901,-2.1043298,-0.0148538705,3
78.26062,0.012763568,43.79719214059616,-87.98958502918298,0,1,8663.028,-0.0011197759,6,1,false,false,-1.1816627,1.2252047,9.132577,-2.104522,-0.0076148645,3
78.27588,0.012966956,43.797180440152616,-87.98958465643295,0,1,8678.725,-0.0013989089,6,1,false,false,-0.8538777,1.0686537,6.651583,-2.104607,-0.0024302262,3
78.29402,0.013170384,43.79716864975531,-87.98958440768013,0,1,8684.743,-0.0030780318,6,1,false,false,-0.6015476,1.0664811,7.204365,-2.1046293,0.0006915318,3
78.31043,0.013373857,43.79715694931176,-87.98958415930652,0,1,8680.045,-0.0044769407,6,1,false,false,-0.6175089,1.1496246,11.089858,-2.1046295,0.0002562495,3
